Timestamp,Satellite Fix,Latitude,Longitude,Altitude
2018-04-22 19:33:52,2,44.6713271941,-63.5886802183,8
2018-04-22 19:34:13,2,44.6712547149,-63.5886878477,6
2018-04-22 19:34:28,2,44.6713271941,-63.5887298094,4
2018-04-22 19:34:43,2,44.6712966766,-63.5887298094,5
2018-04-22 19:34:58,2,44.6712852325,-63.58872218,9
2018-04-22 19:35:13,2,44.6712852325,-63.5887107359,13
2018-04-22 19:35:28,2,44.6712966766,-63.5887031065,16
2018-04-22 19:35:43,2,44.6712966766,-63.5887107359,18
2018-04-22 19:35:58,2,44.6713004912,-63.58872218,18
2018-04-22 19:36:13,2,44.6713348235,-63.5887336241,19
2018-04-22 19:36:28,2,44.6713958587,-63.5887336241,19
2018-04-22 19:37:03,2,44.6715751495,-63.5886954771,31
2018-04-22 19:37:18,2,44.6714416351,-63.5887565123,19
2018-04-22 19:37:33,2,44.6714378204,-63.5887526976,19
2018-04-22 19:37:48,2,44.6714378204,-63.5887526976,19
2018-04-22 19:38:03,2,44.671430191,-63.5887450682,19
2018-04-22 19:38:18,2,44.6714340057,-63.5887488829,19
2018-04-22 19:38:33,2,44.6714340057,-63.5887450682,19
2018-04-22 19:38:48,2,44.671430191,-63.5887488829,19
2018-04-22 19:39:03,2,44.6714263763,-63.5887450682,19
2018-04-22 19:39:18,2,44.6714263763,-63.5887450682,19
2018-04-22 19:39:33,2,44.6714263763,-63.5887450682,19
2018-04-22 19:39:48,2,44.6714225616,-63.5887412535,19
2018-04-22 19:40:03,2,44.6714225616,-63.5887450682,19
2018-04-22 19:40:18,2,44.6714225616,-63.5887488829,19
2018-04-22 19:40:33,2,44.6714225616,-63.5887488829,19
2018-04-22 19:40:48,2,44.6714225616,-63.5887488829,19
2018-04-22 19:41:03,2,44.6714225616,-63.5887488829,19
2018-04-22 19:41:18,2,44.6714225616,-63.5887488829,19
2018-04-22 19:41:33,2,44.6714225616,-63.5887488829,19
2018-04-22 19:41:48,2,44.6714225616,-63.5887450682,19
2018-04-22 19:42:03,2,44.6714225616,-63.5887450682,19
2018-04-22 19:42:18,2,44.6714225616,-63.5887450682,19
2018-04-22 19:42:33,2,44.6714225616,-63.5887412535,19
2018-04-22 19:42:48,2,44.6714225616,-63.5887412535,19
2018-04-22 19:43:03,2,44.6714225616,-63.5887412535,19
2018-04-22 19:43:18,2,44.6714187469,-63.5887412535,19
